regime,file,generation,epistasis_class,column,slope,intercept,r,r2,p_value,n_points
mig0,sim_mig0_rep0029.tsv,2,DI,DI_1,-3.3016386483705813,69.1819092823471,-0.47403606107258073,0.22471018719720748,0.03472640038412467,20
mig0,sim_mig0_rep0029.tsv,2,DI,DI_2,0.18709361973426722,36.35847071827017,0.038412626011568134,0.0014755298371046009,0.8722636121354166,20
mig0,sim_mig0_rep0029.tsv,2,DRE,DRE_1,2.9177557395582028,40.95974250964561,0.5276961648664034,0.2784632424147104,0.016789365405387207,20
mig0,sim_mig0_rep0029.tsv,2,DRE,DRE_2,2.022558588400843,56.82691702793673,0.46551684138701316,0.21670592961494156,0.038596388730818165,20
mig0,sim_mig0_rep0029.tsv,2,DDE,DDE_1,0.9491779861330317,54.71448142330749,0.1891510141247014,0.03577810614440299,0.4244697115915179,20
mig0,sim_mig0_rep0029.tsv,2,DDE,DDE_2,-1.981629854847707,71.70280291183036,-0.3844232166138547,0.14778120947174264,0.09422532805317829,20
mig0,sim_mig0_rep0029.tsv,2,PO,PO_1,1.197601380935615,51.57332878618057,0.28382508307307575,0.08055667778143835,0.2252411880125441,20
mig0,sim_mig0_rep0029.tsv,2,PO,PO_2,4.476467551204756,29.245093574260622,0.5933120147114178,0.35201914680092167,0.0058237316504643425,20
mig0,sim_mig0_rep0029.tsv,2,NE,NE_1,-1.985838293913229,54.494750998319724,-0.4497822047336331,0.20230403169504785,0.0466152908546958,20
mig0,sim_mig0_rep0029.tsv,2,NE,NE_2,-2.3422613946411586,55.32734117071323,-0.4170144317600603,0.173901036296166,0.0673647878310068,20
mig0,sim_mig0_rep0029.tsv,3,RE,RE_1,1.1093512547526796,64.23186131157901,0.16848105319517717,0.02838586528575612,0.4776695686800183,20
mig0,sim_mig0_rep0029.tsv,3,RE,RE_2,1.6407514578177245,53.38209176315906,0.4304710424153573,0.18530531835816433,0.05813910436743687,20
mig0,sim_mig0_rep0029.tsv,3,DE,DE_1,3.9553218580527836,36.49413197143693,0.46142813394233934,0.21291592279350946,0.04056864567234897,20
mig0,sim_mig0_rep0029.tsv,3,DE,DE_2,0.7992725791982352,54.436460959257076,0.19721804293931117,0.03889495646081198,0.4046038756394519,20
mig0,sim_mig0_rep0029.tsv,3,DI,DI_1,-0.4257155123484997,43.34758195963962,-0.108333816858268,0.011736215875080752,0.6493754170141905,20
mig0,sim_mig0_rep0029.tsv,3,DI,DI_2,-1.4416218696375949,69.65820668654635,-0.40374917660697596,0.16301339761081107,0.07749541066526085,20
mig0,sim_mig0_rep0029.tsv,3,DRE,DRE_1,-0.5858819420798832,61.40652344936699,-0.11386676652712256,0.01296564051934224,0.6326512284494886,20
mig0,sim_mig0_rep0029.tsv,3,DRE,DRE_2,2.198204754274215,43.808981035361576,0.38266843218086566,0.1464351289877618,0.0958656442097987,20
